Algorithm,InputSize,Time
shell_sort,4,0.03
shell_sort,8,0.01
shell_sort,16,0.01
shell_sort,32,0.01
shell_sort,64,0.01
shell_sort,128,0.01
shell_sort,256,0.01
shell_sort,512,0.01
shell_sort,1024,0.02
shell_sort,2048,0.01
shell_sort,4096,0.01
shell_sort,8192,0.01
shell_sort,16384,0.02
shell_sort,32768,0.03
shell_sort,65536,0.05
shell_sort,131072,0.09
quick_sort_random_pivot,4,0.01
quick_sort_random_pivot,8,0.01
quick_sort_random_pivot,16,0.01
quick_sort_random_pivot,32,0.01
quick_sort_random_pivot,64,0.05
quick_sort_random_pivot,128,0.01
quick_sort_random_pivot,256,0.01
quick_sort_random_pivot,512,0.01
quick_sort_random_pivot,1024,0.01
quick_sort_random_pivot,2048,0.01
quick_sort_random_pivot,4096,0.02
quick_sort_random_pivot,8192,0.02
quick_sort_random_pivot,16384,0.03
quick_sort_random_pivot,32768,0.05
quick_sort_random_pivot,65536,0.10
quick_sort_random_pivot,131072,0.20
selection_sort,4,0.01
selection_sort,8,0.01
selection_sort,16,0.01
selection_sort,32,0.01
selection_sort,64,0.01
selection_sort,128,0.01
selection_sort,256,0.01
selection_sort,512,0.01
selection_sort,1024,0.03
selection_sort,2048,0.07
selection_sort,4096,0.24
selection_sort,8192,0.93
selection_sort,16384,3.70
selection_sort,32768,14.58
selection_sort,65536,58.49
selection_sort,131072,233.95
insertion_sort,4,0.01
insertion_sort,8,0.01
insertion_sort,16,0.01
insertion_sort,32,0.01
insertion_sort,64,0.01
insertion_sort,128,0.01
insertion_sort,256,0.01
insertion_sort,512,0.01
insertion_sort,1024,0.01
insertion_sort,2048,0.01
insertion_sort,4096,0.01
insertion_sort,8192,0.01
insertion_sort,16384,0.01
insertion_sort,32768,0.02
insertion_sort,65536,0.02
insertion_sort,131072,0.03
heap_sort,4,0.01
heap_sort,8,0.01
heap_sort,16,0.01
heap_sort,32,0.01
heap_sort,64,0.01
heap_sort,128,0.01
heap_sort,256,0.01
heap_sort,512,0.01
heap_sort,1024,0.01
heap_sort,2048,0.02
heap_sort,4096,0.02
heap_sort,8192,0.03
heap_sort,16384,0.06
heap_sort,32768,0.12
heap_sort,65536,0.24
heap_sort,131072,0.49
quick_sort_left_pivot,4,0.01
quick_sort_left_pivot,8,0.01
quick_sort_left_pivot,16,0.01
quick_sort_left_pivot,32,0.01
quick_sort_left_pivot,64,0.01
quick_sort_left_pivot,128,0.01
quick_sort_left_pivot,256,0.01
quick_sort_left_pivot,512,0.02
quick_sort_left_pivot,1024,0.03
quick_sort_left_pivot,2048,0.10
quick_sort_left_pivot,4096,0.37
quick_sort_left_pivot,8192,1.44
quick_sort_left_pivot,16384,4.86
quick_sort_left_pivot,32768,11.85
