Algorithm,InputSize,Time
shell_sort,4,0.02
shell_sort,8,0.01
shell_sort,16,0.01
shell_sort,32,0.01
shell_sort,64,0.01
shell_sort,128,0.01
shell_sort,256,0.01
shell_sort,512,0.01
shell_sort,1024,0.01
shell_sort,2048,0.01
shell_sort,4096,0.02
shell_sort,8192,0.03
shell_sort,16384,0.07
shell_sort,32768,0.08
shell_sort,65536,0.16
shell_sort,131072,0.30
quick_sort_random_pivot,4,0.01
quick_sort_random_pivot,8,0.01
quick_sort_random_pivot,16,0.01
quick_sort_random_pivot,32,0.01
quick_sort_random_pivot,64,0.01
quick_sort_random_pivot,128,0.01
quick_sort_random_pivot,256,0.01
quick_sort_random_pivot,512,0.01
quick_sort_random_pivot,1024,0.01
quick_sort_random_pivot,2048,0.01
quick_sort_random_pivot,4096,0.02
quick_sort_random_pivot,8192,0.02
quick_sort_random_pivot,16384,0.03
quick_sort_random_pivot,32768,0.04
quick_sort_random_pivot,65536,0.07
quick_sort_random_pivot,131072,0.13
selection_sort,4,0.01
selection_sort,8,0.01
selection_sort,16,0.01
selection_sort,32,0.01
selection_sort,64,0.01
selection_sort,128,0.01
selection_sort,256,0.01
selection_sort,512,0.01
selection_sort,1024,0.03
selection_sort,2048,0.07
selection_sort,4096,0.24
selection_sort,8192,0.93
selection_sort,16384,3.67
selection_sort,32768,14.67
selection_sort,65536,58.37
selection_sort,131072,234.07
insertion_sort,4,0.02
insertion_sort,8,0.01
insertion_sort,16,0.01
insertion_sort,32,0.01
insertion_sort,64,0.01
insertion_sort,128,0.01
insertion_sort,256,0.01
insertion_sort,512,0.02
insertion_sort,1024,0.03
insertion_sort,2048,0.08
insertion_sort,4096,0.28
insertion_sort,8192,1.10
insertion_sort,16384,4.38
insertion_sort,32768,17.31
insertion_sort,65536,68.28
insertion_sort,131072,589.93
heap_sort,4,0.03
heap_sort,8,0.01
heap_sort,16,0.02
heap_sort,32,0.02
heap_sort,64,0.01
heap_sort,128,0.01
heap_sort,256,0.01
heap_sort,512,0.02
heap_sort,1024,0.02
heap_sort,2048,0.02
heap_sort,4096,0.02
heap_sort,8192,0.04
heap_sort,16384,0.06
heap_sort,32768,0.12
heap_sort,65536,0.25
heap_sort,131072,0.52
quick_sort_left_pivot,4,0.01
quick_sort_left_pivot,8,0.01
quick_sort_left_pivot,16,0.01
quick_sort_left_pivot,32,0.01
quick_sort_left_pivot,64,0.01
quick_sort_left_pivot,128,0.01
quick_sort_left_pivot,256,0.01
quick_sort_left_pivot,512,0.01
quick_sort_left_pivot,1024,0.01
quick_sort_left_pivot,2048,0.01
quick_sort_left_pivot,4096,0.02
quick_sort_left_pivot,8192,0.02
quick_sort_left_pivot,16384,0.03
quick_sort_left_pivot,32768,0.04
quick_sort_left_pivot,65536,0.07
quick_sort_left_pivot,131072,0.13
