Algorithm,InputSize,Time
quick_sort_left_pivot,4,0.01
quick_sort_left_pivot,8,0.01
quick_sort_left_pivot,16,0.01
quick_sort_left_pivot,32,0.01
quick_sort_left_pivot,64,0.01
quick_sort_left_pivot,128,0.01
quick_sort_left_pivot,256,0.01
quick_sort_left_pivot,512,0.02
quick_sort_left_pivot,1024,0.04
quick_sort_left_pivot,2048,0.11
quick_sort_left_pivot,4096,0.38
quick_sort_left_pivot,8192,1.54
quick_sort_left_pivot,16384,5.93
quick_sort_left_pivot,32768,19.69
quick_sort_left_pivot,65536,51.49
quick_sort_left_pivot,131072,108.99
