Algorithm,InputSize,Time
quick_sort_random_pivot,4,0.01
quick_sort_random_pivot,8,0.01
quick_sort_random_pivot,16,0.01
quick_sort_random_pivot,32,0.01
quick_sort_random_pivot,64,0.01
quick_sort_random_pivot,128,0.01
quick_sort_random_pivot,256,0.01
quick_sort_random_pivot,512,0.01
quick_sort_random_pivot,1024,0.01
quick_sort_random_pivot,2048,0.01
quick_sort_random_pivot,4096,0.02
quick_sort_random_pivot,8192,0.02
quick_sort_random_pivot,16384,0.03
quick_sort_random_pivot,32768,0.06
quick_sort_random_pivot,65536,0.10
quick_sort_random_pivot,131072,0.20
